Row_Number,Sentiment,Label
1,health ministry insurance companies cover mental illness health policies amid rising number cases ,Negative
2,black women graduated suffer anxiety ptsd schizophrenia bipolar disorder depression adhd ocd autism ,Negative
3,self compassion may buffer depression anxiety bipolar disorder ,Negative
4,air now joined line south african depression anxiety group unpacking bipolar,Negative
5,bipolar disorder may linked parkinson disease people hospitalized one two times per year,Negative
6,grateful willingness open experience bipolar disorder ,Positive
7,can aid treatment obsessive compulsive disorders bipolar disorder tourette syndrome asperge ,Negative
8,demi disorder taught love let bipolar disorder define ,Negative
9,may mental health awareness perfect time intrsopect deal loved ones struggle ,Positive
10,kush wax ideal depression bipolar disorder anxiety heavy body high can help pain nausea ,Negative
11,bipolar disorder involves moods swing highs mania lows depression don miss ,Negative
12,differential diagnosis hypothyroidism anemia diabetes bipolar disorder alcohol abuse substance abuse ,Negative
13,meaning seungyoun tattoos smtm experienced bipolar disorder others bright amp happy buhis week non citizens right ,Positive
14,fmri might help differentiate mdd bipolar disorder ,Negative
15,many mental health disorders like bipolar disorder depression schizophrenia amp adhd associated low omega ,Negative
16,bipolar disorder raise risk parkinson,Negative
17,used think bipolar disorder meant suffer like tortured geniuses kurt cobain van gogh ,Negative
18,essentially bipolar disorder consists four states highs manic phase bipolar,Negative
19,thank greg raised incredible aware running belfast city marathon well rele ,Positive
20,take full responsibility things even though just easily cop blame bipolar,Negative
21,australia limited time kindle deal echoes family love bipolar disorder music industry english,Negative
22,harry styles bipolar disorder s life mother girl let today harry styles ,Negative
23,reach celebrities get word mission fund help creative individuals ,Positive
24,music focused charity provides recovery programmes musicians experiencing conditions,Positive
25,bipolar disorder depression anxiety disorder schizophrenia post traumatic stress disorder postpartum depression stigma ,Negative
26,things never say someone bipolar disorder ,Negative
27,bipolar disorder adhd narcissistic personality disorder trump ,Negative
28,maladaptive perfectionism significant predictor low self compassion low self compassion turn significant ,Positive
29,schizoaffective disorder bipolar subtype better cognitive function depression ,Negative
30,examined cognitive function sample participants schizophrenia schizoaffective disorder ,Negative
31,microglia post mortem brain tissue patients bipolar disorder immune activated ,Negative
32,bipolar disorder depression anxiety disorder borderline personality disorder schizop ,Negative
33,bipolar disorder increases risk parkinsons disease seven fold,Negative
34,getting solid block sleep can huge number someone bipolar disorder  totally cheating myself ,Negative
35,adderall personality adderall may cause great mood swings point ,Positive
36,ever suffered depression anxiety eating disorder ocd bipolar feelings guilt hope ,Negative
37,incoherence appears flight ideas  thought disorder rapidly jumping,Negative
38,vincent loves spoil got flowers wanted know bipolar disorder waiting ,Negative
39,bipolar disorder depression anxiety disorder borderline personality disorder ,Negative
40,many medications used treat bipolar disorder can trigger parkinson like symptoms new study suggests ,Negative
41,memory angel lost soon ever suffered depression anxiety eating disorder self ,Negative
42,bipolar disorder risk factor parkinson healthday ,Negative
43,exactly bipolar disorder watch video learn ,Negative
44,empaths amp smiling misdiagnosed high conflict symptomatic mental health bipolar bpd ptsd anxiety hcp ,Negative
45,usually happens border line personality bipolar disorder need ashamed ,Negative
46,slurry mental health issues bipolar ptsd panic disorder generalized anxiety ocdc,Negative
47,high intensity interval training severe mental illness people experiencing severe mental illnesses smi including,Negative
48,people bipolar disorder likely develop parkinson disease study via ,Negative
49,music focused charity provides recovery programmes musicians experiencing condit ,Positive
50,one convenient things bipolar disorder physiological signs depression really obvious ,Negative
51,living disorder even good time anxious either upcoming depressive,Negative
52,called bipolar personality disorder,Negative
53,bipolar disorder life can get turned around business day ,Negative
54,self diagnosed severe depression anxiety add insomnia ocd antisocial personality disorder ptsd bipolar disorder amp schizophrenia,Negative
55,may also brain injury survivors often misdiagnosed bipolar disorder ,Negative
56,senior bipolar disorder linked parkinson disease,Negative
